gene,A2_1,A2_2,A2_3,A4_1,A4_2,A4_3,B2_1,B2_2,B2_3,B4_1,B4_2,B4_3,C2_1,C2_2,C2_3,C4_1,C4_2,C4_3
Glyma.01G000100,65,75,49,55,74,106,58,57,73,39,54,37,34,32,31,41,27,41
Glyma.01G000200,122,103,164,113,130,105,79,153,137,96,166,91,83,66,52,78,117,93
Glyma.01G000300,26,11,25,19,26,14,15,19,18,21,25,23,8,8,14,10,4,9
Glyma.01G000400,249,213,301,153,226,243,248,217,285,253,248,255,92,96,138,91,117,116
Glyma.01G000500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glyma.01G000600,327,234,286,214,340,252,189,213,289,249,233,280,118,194,204,155,156,187
Glyma.01G000700,51,18,25,16,29,9,18,40,37,46,54,56,20,19,32,37,15,30
Glyma.01G000800,4,1,2,0,6,7,5,0,1,2,1,4,4,1,0,2,1,2
Glyma.01G000900,352,357,478,221,362,372,465,360,493,400,416,323,201,150,216,170,194,180
Glyma.01G001000,228,270,709,162,279,235,146,165,229,136,224,227,146,100,94,94,110,111
Glyma.01G001100,165,163,146,104,192,154,197,147,191,186,285,209,90,91,92,100,136,131
Glyma.01G001200,355,481,605,163,356,390,132,68,196,167,215,177,23,17,31,43,83,67
Glyma.01G001300,1344,1555,1908,1020,1687,1181,1552,1968,2094,2157,1815,2308,1820,1803,2337,1709,2068,1689
Glyma.01G001400,2,0,0,2,0,3,1,0,1,0,0,0,0,1,0,0,1,0
Glyma.01G001500,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,1,3
Glyma.01G001600,155,122,119,86,161,155,173,160,226,140,133,136,129,100,117,187,113,135
Glyma.01G001700,163,139,122,62,168,104,126,64,146,105,101,95,55,48,78,65,49,82
Glyma.01G001800,17,21,13,31,81,7,12,7,8,7,26,18,2,0,0,1,10,9
Glyma.01G001900,0,4,9,1,18,1,0,1,1,1,0,0,2,0,1,0,1,1
Glyma.01G002000,11,0,17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glyma.01G002100,667,512,522,440,592,435,298,478,661,492,573,554,290,298,510,437,743,401
Glyma.01G002200,191,235,287,192,233,262,155,94,164,167,137,143,78,40,67,88,80,42
Glyma.01G002300,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Glyma.01G002400,257,279,277,234,339,381,292,162,229,212,221,269,134,128,102,199,152,146
Glyma.01G002500,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Glyma.01G002600,1584,1641,1911,1012,1611,1124,1512,508,731,888,712,674,336,327,326,382,331,351
Glyma.01G002700,89,117,105,51,74,139,92,44,38,115,85,49,40,10,18,22,16,31
Glyma.01G002800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glyma.01G002900,26,13,17,12,38,28,18,6,12,19,26,12,18,5,7,9,9,7
Glyma.01G003000,0,0,0,1,0,0,0,2,0,0,1,1,0,1,0,0,1,2
Glyma.01G003100,53,34,68,36,43,31,29,25,25,28,51,18,13,14,9,6,17,34
Glyma.01G003200,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
Glyma.01G003300,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Glyma.01G003400,22,47,61,20,58,41,33,51,46,60,58,48,20,31,31,37,32,23
Glyma.01G003500,0,1,0,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0
Glyma.01G003600,142,64,135,58,95,84,140,150,130,164,129,150,91,122,116,130,93,135
Glyma.01G003700,826,880,1051,631,1239,1133,911,617,679,574,781,792,323,186,247,331,169,289
Glyma.01G003800,164,241,261,107,180,204,187,199,210,156,236,339,150,169,126,214,206,171
Glyma.01G003900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glyma.01G004000,0,8,4,5,23,20,6,3,4,2,2,4,1,6,1,0,5,4
Glyma.01G004100,114,93,551,317,525,318,120,184,217,140,223,178,98,132,172,154,174,182
Glyma.01G004200,171,48,59,85,121,0,26,155,161,159,276,251,36,0,65,1,377,129
Glyma.01G004300,3505,2677,3378,2394,3421,3642,4250,2409,3201,2977,2880,3220,1776,1659,1251,1733,1781,1393
Glyma.01G004400,4,14,23,3,28,2,6,2,9,3,13,16,5,6,0,5,1,3
Glyma.01G004500,650,541,811,453,624,486,439,692,629,700,654,700,449,537,552,483,552,486
Glyma.01G004600,333,313,404,319,251,497,69,10,26,27,30,13,6,0,4,4,1,5
Glyma.01G004700,43,62,24,18,19,41,49,25,19,27,36,27,18,12,3,7,9,26
Glyma.01G004800,4,0,0,0,0,6,0,2,2,4,1,0,0,2,4,12,1,12
Glyma.01G004900,1,4,1,4,11,0,1,1,2,1,6,6,0,0,0,0,0,4
Glyma.01G005000,616,447,1111,525,488,536,264,373,308,334,553,361,215,144,181,171,382,361
Glyma.01G005100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glyma.01G005200,29,34,57,64,131,13,70,65,83,70,62,86,46,49,66,45,70,34
Glyma.01G005300,274,183,304,153,206,185,252,217,214,212,253,284,136,113,77,146,167,155
Glyma.01G005400,107,162,224,45,136,103,17,91,77,134,127,88,13,23,58,52,60,85
Glyma.01G005500,36,20,14,17,40,15,12,21,38,35,41,29,35,24,27,43,41,29
Glyma.01G005600,275,229,232,263,251,224,75,64,90,44,95,149,34,10,5,23,39,32
Glyma.01G005700,8,9,2,7,19,22,0,1,14,4,8,6,0,0,1,2,1,0
Glyma.01G005800,38,42,60,44,50,33,24,14,33,41,39,37,22,33,14,36,31,41
Glyma.01G005900,6,4,5,4,8,6,3,0,1,5,7,5,0,5,2,4,4,1
Glyma.01G006000,15,13,9,14,104,151,4,20,8,14,8,20,2,1,16,58,0,27
Glyma.01G006100,674,619,735,443,502,717,356,358,455,296,381,383,238,145,182,212,183,176
Glyma.01G006200,1713,1573,2180,2039,2578,2552,837,522,769,577,583,849,341,239,280,247,278,334
Glyma.01G006300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glyma.01G006400,489,478,547,309,317,448,502,513,625,651,651,639,422,354,391,380,425,377
Glyma.01G006500,780,733,1008,729,953,1029,290,318,312,244,307,354,112,83,110,183,199,192
Glyma.01G006600,238,332,424,178,230,185,212,277,355,348,230,229,204,130,221,163,251,204
Glyma.01G006700,348,351,371,125,340,185,106,443,693,688,713,825,79,33,176,145,56,124
Glyma.01G006800,230,231,291,260,226,737,37,41,70,63,69,65,15,13,19,13,76,32
Glyma.01G006900,1655,1138,1594,1154,2037,1405,2001,1362,1594,1751,1498,1421,873,809,873,905,963,860
Glyma.01G007000,178,195,106,124,69,126,81,9,39,77,36,49,7,2,10,10,4,6
Glyma.01G007100,341,179,166,177,164,139,121,82,122,90,149,83,41,13,32,3,58,15
Glyma.01G007200,558,341,558,470,974,472,1196,759,936,860,757,713,636,480,570,590,617,493
Glyma.01G007300,73,37,58,42,55,48,61,37,24,24,42,35,15,10,13,27,19,17
Glyma.01G007400,49,72,60,33,47,68,12,30,42,20,20,10,3,2,5,1,31,8
Glyma.01G007500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glyma.01G007600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glyma.01G007700,470,503,589,423,745,471,484,339,463,459,480,521,247,282,215,259,233,213
Glyma.01G007800,420,628,588,157,198,457,307,152,283,314,378,422,45,11,76,42,110,68
Glyma.01G007900,13,16,10,8,6,14,4,1,4,7,2,0,0,0,0,3,0,4
Glyma.01G008000,401,456,512,408,483,404,456,230,294,269,276,281,230,183,143,193,143,139
Glyma.01G008100,0,0,3,0,6,10,0,0,0,0,0,0,0,1,1,0,0,0
Glyma.01G008200,1,0,11,1,0,0,1,0,4,1,10,8,0,0,0,0,0,0
Glyma.01G008300,0,4,27,4,0,28,0,4,0,0,0,0,0,0,0,0,0,0
Glyma.01G008400,401,348,424,365,447,620,103,172,165,105,167,226,112,107,116,105,191,116
Glyma.01G008500,833,860,1085,288,379,803,65,285,271,507,432,433,84,48,175,514,280,644
Glyma.01G008600,1121,1099,1422,783,965,791,982,981,1250,1474,1042,1041,661,650,854,868,907,793
Glyma.01G008700,89,45,102,60,113,106,11,36,22,22,53,47,18,3,20,15,15,23
Glyma.01G008800,374,373,525,266,430,549,424,273,228,246,350,361,190,197,157,202,207,194
Glyma.01G008900,416,342,487,236,413,445,171,287,379,308,379,373,163,147,274,228,178,208
Glyma.01G009000,6,5,5,1,0,8,0,17,7,12,6,26,0,0,1,17,1,19
Glyma.01G009100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Glyma.01G009200,24,34,67,40,30,80,2,89,116,61,113,152,4,1,3,5,58,44
Glyma.01G009300,3382,2667,3331,2093,3593,3238,5525,3349,4323,4787,3726,3682,2156,1492,2102,1873,1370,1248
Glyma.01G009400,130,118,154,121,152,272,31,84,90,157,85,118,60,26,60,55,70,57
Glyma.01G009500,48,24,13,40,32,34,13,18,6,7,32,6,4,8,12,6,18,7
