,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,sig
Glyma.15G228600,108.8347691,-10.32504904,0.698591418,-14.77981088,1.98E-49,2.58E-45,FDR < 0.005
Glyma.15G228700,111.0384203,-10.12698619,0.696537884,-14.53903142,6.86E-48,6.72E-44,FDR < 0.005
Glyma.05G236500,36.7946103,-8.056563119,0.71435826,-11.27804292,1.68E-29,8.25E-26,FDR < 0.005
Glyma.15G217200,17.77926283,-7.595734346,0.76497126,-9.929437543,3.10E-23,6.39E-20,FDR < 0.005
Glyma.10G119600,30.20552737,6.75964586,0.614018674,11.00886039,3.46E-28,1.36E-24,FDR < 0.005
Glyma.05G059700,9.893195449,-6.479875084,0.773834211,-8.373725265,5.58E-17,6.25E-14,FDR < 0.005
Glyma.15G221200,38.58852127,6.27499499,0.583737033,10.74969488,5.95E-27,1.94E-23,FDR < 0.005
Glyma.10G119700,9.464343157,5.955891359,0.769454305,7.740409428,9.91E-15,8.09E-12,FDR < 0.005
Glyma.05G056200,28.23835983,5.594415731,0.534971215,10.45741448,1.36E-25,3.54E-22,FDR < 0.005
Glyma.14G136300,129.3529624,5.579547328,0.370293231,15.06791606,2.63E-51,5.16E-47,FDR < 0.005
Glyma.03G116400,3.91501861,-5.480038776,0.918300477,-5.96758786,2.41E-09,1.26E-06,FDR < 0.005
Glyma.05G108300,8.771436526,5.270635163,0.888685355,5.93082257,3.01E-09,1.50E-06,FDR < 0.005
Glyma.14G216100,84.56946246,-5.047406084,0.467996828,-10.78512884,4.05E-27,1.44E-23,FDR < 0.005
Glyma.05G216200,16.37302147,4.969685725,0.726701727,6.838687096,7.99E-12,5.22E-09,FDR < 0.005
Glyma.10G079500,47.8392307,4.807681863,0.468717128,10.25710728,1.10E-24,2.69E-21,FDR < 0.005
Glyma.12G111600,71.42569097,4.658608699,0.406570616,11.4583015,2.14E-30,1.20E-26,FDR < 0.005
Glyma.15G240200,5.872266181,4.093862544,0.870463711,4.703082383,2.56E-06,0.000829868,FDR < 0.005
Glyma.13G247500,9.054762439,4.069834243,0.948160093,4.292349228,1.77E-05,0.004498338,FDR < 0.005
Glyma.15G240300,106.9591617,4.057001972,0.384392478,10.55432197,4.85E-26,1.46E-22,FDR < 0.005
Glyma.10G111700,4.58157843,-3.849470536,0.891953044,-4.315777116,1.59E-05,0.004168736,FDR < 0.005
Glyma.18G182800,101.4824066,3.738583719,0.602576381,6.204331659,5.49E-10,2.99E-07,FDR < 0.005
Glyma.05G223400,136.3791882,-3.621355473,0.286953073,-12.62002679,1.64E-36,1.07E-32,FDR < 0.005
Glyma.05G231500,20.29588233,-3.558394217,0.501045175,-7.101942883,1.23E-12,9.09E-10,FDR < 0.005
Glyma.13G207500,8.196112242,3.380038629,0.676327045,4.997639316,5.80E-07,0.000214538,FDR < 0.005
Glyma.18G141100,26.38347454,2.914816448,0.513660005,5.674602693,1.39E-08,6.41E-06,FDR < 0.005
Glyma.13G207600,23.96217644,2.883130558,0.622758001,4.629616244,3.66E-06,0.001157647,FDR < 0.005
Glyma.15G070900,10.63856693,2.873451418,0.603295442,4.762925788,1.91E-06,0.000639021,FDR < 0.005
Glyma.03G129100,23.9359568,2.863137995,0.441647355,6.482860053,9.00E-11,5.11E-08,FDR < 0.005
