"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","sig"
"Glyma.05G236500",35.7396842784338,-8.62134635317242,0.715216312182819,-12.0541802617174,1.84357520768388e-33,1.3725048706165e-29,"FDR < 0.05"
"Glyma.15G187300",18.3693723842622,-7.58426718532112,0.77006674955865,-9.84884386927225,6.93369406989459e-23,3.15097562125481e-19,"FDR < 0.05"
"Glyma.15G217200",17.3165749969669,-7.52213818421797,0.764493649874227,-9.83937300912243,7.61841301077082e-23,3.15097562125481e-19,"FDR < 0.05"
"Glyma.07G231300",15.0218853045772,-7.43868968996477,0.805372194333969,-9.23633786005792,2.55078126797399e-20,8.63184381082399e-17,"FDR < 0.05"
"Glyma.10G067700",41.4269321909808,7.06157118400393,0.601137889379111,11.7470073152393,7.31643155352816e-32,4.53911413580887e-28,"FDR < 0.05"
"Glyma.14G170500",28.5232142681692,6.29142791985569,0.655107029525902,9.60366418966495,7.71518076839593e-22,2.8718988892277e-18,"FDR < 0.05"
"Glyma.17G124800",30.9438425547669,-6.20229179905217,1.35769038103557,-4.56826673127153,4.91773967417895e-06,0.00389484982194973,"FDR < 0.05"
"Glyma.05G108300",10.7990140772082,5.55011694161506,0.74473185421153,7.45250375719612,9.1585248709663e-14,2.00539370468735e-10,"FDR < 0.05"
"Glyma.07G231100",4.04030421615775,-5.30293923465868,1.03982833498666,-5.09982182273069,3.39973363544165e-07,0.000372210837781411,"FDR < 0.05"
"Glyma.07G231200",29.0976946824641,-5.2113356879481,0.425506378190872,-12.2473738469096,1.7352440694343e-34,1.61481813101556e-30,"FDR < 0.05"
"Glyma.15G197400",3.5925546477284,5.18475672080861,0.942324651304935,5.50209178294205,3.75311471424918e-08,4.98949793297183e-05,"FDR < 0.05"
"Glyma.12G111600",95.7182884565252,5.11798501890879,0.361355147964039,14.1633101057083,1.54539883359144e-45,5.75259261816076e-41,"FDR < 0.05"
"Glyma.02G111200",758.018358732682,4.88551868908794,0.588979714540138,8.29488447306278,1.08690783961841e-16,2.88993267299683e-13,"FDR < 0.05"
"Glyma.05G216200",13.7469851935977,4.75397641709625,0.816663007346693,5.82122169650091,5.84190176988734e-09,9.27799087937873e-06,"FDR < 0.05"
"Glyma.02G179400",15.2390383239116,4.60470496867604,0.749481267056359,6.14385598556898,8.05418724581709e-10,1.49904533019148e-06,"FDR < 0.05"
"Glyma.17G124700",3.93105884833238,-4.56875664652705,1.06169176004488,-4.30327974508713,1.68288142007038e-05,0.0108006168932241,"FDR < 0.05"
"Glyma.03G116400",4.11866870441096,-4.30595765432498,0.992631117060236,-4.33792330334903,1.43835326758576e-05,0.0093932038653706,"FDR < 0.05"
"Glyma.05G223400",131.464933812848,-4.04228277309634,0.329430710110834,-12.2705098493591,1.30429440968713e-34,1.61481813101556e-30,"FDR < 0.05"
"Glyma.18G211600",22.9152961119952,4.01844477802498,0.526170170189598,7.63715810148833,2.22068748106027e-14,5.16642942468672e-11,"FDR < 0.05"
"Glyma.04G109100",13.6577125045531,3.77650229168974,0.73065538027815,5.16865049327643,2.35790378089241e-07,0.000265971546484664,"FDR < 0.05"
"Glyma.15G000100",6.88435749172267,-3.77573153478534,0.637532079095619,-5.92241811602871,3.17241780537424e-09,5.36773092669322e-06,"FDR < 0.05"
"Glyma.18G182800",97.7412980783828,3.61024453249573,0.569264663151232,6.34194385527252,2.2688400684177e-10,4.6919612614878e-07,"FDR < 0.05"
"Glyma.05G090700",7.11663998109051,3.59525649273787,0.634937438288364,5.66237911947641,1.4928853790032e-08,2.13735251338519e-05,"FDR < 0.05"
"Glyma.11G211200",23.3513654903827,3.57956377195449,0.615334824137462,5.8172618085968,5.98194125040537e-09,9.27799087937873e-06,"FDR < 0.05"
"Glyma.18G141100",38.972420123474,3.56259808807677,0.431591636597301,8.25455774853411,1.52465745634033e-16,3.78358994365417e-13,"FDR < 0.05"
"Glyma.18G173300",5.65283696905123,-3.3807234170901,0.772380637359303,-4.37701730671095,1.20314424376496e-05,0.00814288024180127,"FDR < 0.05"
"Glyma.05G249100",5.72693770858112,3.20487590838663,0.631275336876086,5.07682737020301,3.8378926939888e-07,0.000408176336117255,"FDR < 0.05"
"Glyma.11G211300",10.0472874062005,3.10054983788448,0.498853552936453,6.21535081715543,5.12101067321406e-10,1.0032868489459e-06,"FDR < 0.05"
"Glyma.05G229700",25.9605085235063,2.99603704796677,0.63150011864608,4.74431747438178,2.09210520670224e-06,0.00181108195847173,"FDR < 0.05"
"Glyma.01G081400",11.9452790576443,-2.93588687033594,0.615851386103347,-4.76720023139359,1.86803637085984e-06,0.00169830232582663,"FDR < 0.05"
"Glyma.20G070400",84.3193227736039,2.76868038268425,0.709008931347482,3.90500071335115,9.42251071552042e-05,0.0427736023017722,"FDR < 0.05"
"Glyma.05G231500",20.4193125878105,-2.64981545118408,0.48006757564342,-5.51967178294142,3.39633432310881e-08,4.68241292012601e-05,"FDR < 0.05"
"Glyma.15G154600",7.9881492719938,-2.53380831684085,0.591053439710852,-4.28693608158412,1.81154390371378e-05,0.0114293068257359,"FDR < 0.05"
"Glyma.03G121400",13.8796138034054,-2.47923240591191,0.495947367328304,-4.9989828946319,5.76335147167613e-07,0.000595930542171312,"FDR < 0.05"
"Glyma.05G236000",223.226517118911,-2.44536493374439,0.196557683268618,-12.4409531750663,1.56623637119032e-35,2.91507913405943e-31,"FDR < 0.05"
"Glyma.05G211500",15.4916814490698,2.27230336602379,0.476681046933454,4.76692618815408,1.87057799696142e-06,0.00169830232582663,"FDR < 0.05"
