"","A1_1","A1_2","A1_3","B1_1","B1_2","B1_3","C1_1","C1_2","C1_3"
"Glyma.01G000100.Wm82.a2.v1",57,25,33,34,27,46,52,56,21
"Glyma.01G000200.Wm82.a2.v1",97,38,87,178,97,164,112,79,111
"Glyma.01G000300.Wm82.a2.v1",22,4,18,28,8,15,12,16,12
"Glyma.01G000400.Wm82.a2.v1",300,85,242,267,189,266,142,85,98
"Glyma.01G000500.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G000600.Wm82.a2.v1",352,182,281,238,154,206,172,149,163
"Glyma.01G000700.Wm82.a2.v1",53,0,36,33,32,57,42,18,28
"Glyma.01G000800.Wm82.a2.v1",5,1,5,2,1,2,2,0,1
"Glyma.01G000900.Wm82.a2.v1",458,261,312,499,340,444,190,234,190
"Glyma.01G001000.Wm82.a2.v1",306,218,196,155,240,163,101,116,99
"Glyma.01G001100.Wm82.a2.v1",195,103,133,188,176,156,133,95,64
"Glyma.01G001200.Wm82.a2.v1",620,249,656,271,199,191,50,46,102
"Glyma.01G001300.Wm82.a2.v1",2005,1287,1457,1777,1385,1319,1594,1254,863
"Glyma.01G001400.Wm82.a2.v1",0,0,3,0,0,2,0,1,0
"Glyma.01G001500.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G001600.Wm82.a2.v1",159,46,130,202,93,197,157,116,149
"Glyma.01G001700.Wm82.a2.v1",185,113,106,97,130,65,65,61,45
"Glyma.01G001800.Wm82.a2.v1",19,29,36,4,3,7,5,2,15
"Glyma.01G001900.Wm82.a2.v1",1,0,0,0,0,1,0,0,0
"Glyma.01G002000.Wm82.a2.v1",1,0,7,0,0,0,0,0,0
"Glyma.01G002100.Wm82.a2.v1",701,497,580,436,297,306,460,387,377
"Glyma.01G002200.Wm82.a2.v1",269,227,210,183,202,96,118,83,60
"Glyma.01G002300.Wm82.a2.v1",0,0,0,0,0,0,0,0,0
"Glyma.01G002400.Wm82.a2.v1",266,320,221,236,204,221,208,168,131
