"","A4_1","A4_2","A4_3","B4_1","B4_2","B4_3","C4_1","C4_2","C4_3"
"1",55,74,106,39,54,37,41,27,41
"2",113,130,105,96,166,91,78,117,93
"3",19,26,14,21,25,23,10,4,9
"4",153,226,243,253,248,255,91,117,116
"5",0,0,0,0,0,0,0,0,0
"6",214,340,252,249,233,280,155,156,187
"7",16,29,9,46,54,56,37,15,30
"8",0,6,7,2,1,4,2,1,2
"9",221,362,372,400,416,323,170,194,180
"10",162,279,235,136,224,227,94,110,111
"11",104,192,154,186,285,209,100,136,131
"12",163,356,390,167,215,177,43,83,67
"13",1020,1687,1181,2157,1815,2308,1709,2068,1689
"14",2,0,3,0,0,0,0,1,0
"15",0,0,0,0,0,4,0,1,3
"16",86,161,155,140,133,136,187,113,135
"17",62,168,104,105,101,95,65,49,82
"18",31,81,7,7,26,18,1,10,9
"19",1,18,1,1,0,0,0,1,1
"20",4,0,0,0,0,0,0,0,0
"21",440,592,435,492,573,554,437,743,401
"22",192,233,262,167,137,143,88,80,42
"23",0,0,2,0,0,0,0,0,0
"24",234,339,381,212,221,269,199,152,146
"25",0,0,0,0,0,1,0,0,0
"26",1012,1611,1124,888,712,674,382,331,351
"27",51,74,139,115,85,49,22,16,31
"28",0,0,0,0,0,0,0,0,0
"29",12,38,28,19,26,12,9,9,7
"30",1,0,0,0,1,1,0,1,2
"31",36,43,31,28,51,18,6,17,34
"32",0,0,0,0,0,0,0,0,0
"33",0,4,0,0,0,0,0,0,0
"34",20,58,41,60,58,48,37,32,23
"35",1,2,6,0,0,0,0,0,0
"36",58,95,84,164,129,150,130,93,135
"37",631,1239,1133,574,781,792,331,169,289
"38",107,180,204,156,236,339,214,206,171
"39",0,0,0,0,0,0,0,0,0
"40",5,23,20,2,2,4,0,5,4
"41",317,525,318,140,223,178,154,174,182
"42",85,121,0,159,276,251,1,377,129
"43",2394,3421,3642,2977,2880,3220,1733,1781,1393
"44",3,28,2,3,13,16,5,1,3
"45",453,624,486,700,654,700,483,552,486
"46",319,251,497,27,30,13,4,1,5
"47",18,19,41,27,36,27,7,9,26
"48",0,0,6,4,1,0,12,1,12
"49",4,11,0,1,6,6,0,0,4
"50",525,488,536,334,553,361,171,382,361
"51",0,0,0,0,0,0,0,0,0
"52",64,131,13,70,62,86,45,70,34
"53",153,206,185,212,253,284,146,167,155
"54",45,136,103,134,127,88,52,60,85
"55",17,40,15,35,41,29,43,41,29
"56",263,251,224,44,95,149,23,39,32
"57",7,19,22,4,8,6,2,1,0
"58",44,50,33,41,39,37,36,31,41
"59",4,8,6,5,7,5,4,4,1
"60",14,104,151,14,8,20,58,0,27
"61",443,502,717,296,381,383,212,183,176
"62",2039,2578,2552,577,583,849,247,278,334
"63",0,0,0,0,0,0,0,0,0
